Name,Service / Project,Service in folder,Website,Email,Main Tag,Second Tag,Third Tag ,Timings ,Who's it for?,Location,Notes,,,,,,,,,,,,,,,,,,,
12 step programmes,"List of 12 step groups (similar to AA), like Overeaters Anonymous, Depressed Anonymous, Recovering Couples Anonymou",,d.12step.org/directory-directory/categories/12-step-fellowship/,,Peer Support,Group,,,Almost anyone,"Worldwide, in-person and online groups, whatsapp and facebook groups",,,,,,,,,,,,,,,,,,,,
56 Dean Street,Mpox Mass Immunisation,,www.dean.st/health-amp-wellbeing/monkeypox-alert-2022-ukhsa/,,Immunisation,Sexual Health,LGBTQ+,,,,,,,,,,,,,,,,,,,,,,,
Ability Net,IT support to elderly or those with disabilities ,,abilitynet.org.uk/free-tech-support-and-info/request-free-it-support-home,,Digital Inclusion,Senior,Disability,,Elderly and those with disabilities ,N/A,,,,,,,,,,,,,,,,,,,,
Ability Bow,Exercise and nutrition programme for weight loss,No,https://www.abilitybow.org/,reception@abilitybow.org,Exercise,Wellness,,,aged 18 and older,,,,,,,,,,,,,,,,,,,,,
Account 3,Support for women,,account3.org.uk/,,BAME women,Childcare,Employment,,Ethnic minority women in TH ,E2 6JY,,,,,,,,,,,,,,,,,,,,
Account 3 ,Welfare Advice,,Account 3 - London,,Benefits Advice,Housing,Employment,,All,E2 6JY,,,,,,,,,,,,,,,,,,,,
Acupuncture ,Acupuncture at the Mission Practice in September ,,,elen.williams3@nhs.net,Acupuncture,Chronic Pain,Health Problems ,,Mission Practice patients with Chronic Pain,E2 9LS,,,,,,,,,,,,,,,,,,,,
Adder Community Navigators ,Transition Support for people involved with criminal justice system,,,sadequr.rahman@towerhamlets.gov.uk,Youth,Prison,Keyworker,,18-24 yrs affected by drugs and criminal justice system,-,,,,,,,,,,,,,,,,,,,,
Advantage,1:1 mentoring for adolescents at local football club,,Advantage Mentoring,,Youth,1to1,Mentoring,,14-21 with mild-mental health conditions ,E14 3BQ,,,,,,,,,,,,,,,,,,,,
Advice for Renters,Housing Advice for Private renters: eviction/posession / homelessness / serious disrepair with health implications / mentoring & befriending,,Advice for Renters,,Housing,Private Rent,Free,,Private Renters,,,,,,,,,,,,,,,,,,,,,
Age UK,"Advocacy, befriending",,www.ageuk.org.uk/eastlondon/,,Senior,Befriending,Social Isolation,,Older people ,Newham TH and Hackney.,,,,,,,,,,,,,,,,,,,,
Age UK,Handyman,,www.ageuk.org.uk/services/in-your-area/handyperson-services/,,Practical Help,Senior,Low Cost,,All ,N/A,,,,,,,,,,,,,,,,,,,,
Age UK,Hospital Discharge Service,,Hospital Discharge Service ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age UK ,Buddy for activities ,,,Befriending@ageukeastlondon.org.uk,Befriending,Senior,Social Isolation,,,East London,,,,,,,,,,,,,,,,,,,,
Age UK ,Welfare Advice (for anyone 18+!),,Age UK East London | Information & Advice,,Benefits Advice,Adults,Finances,,Anyone 18+ (so not only older people!),,,,,,,,,,,,,,,,,,,,,
Aira App,Visual interpreting app,,aira.io/,,Blind,online resource,Practical Help,,Blind/partially sighted people ,-,,,,,,,,,,,,,,,,,,,,
Aishah Help,Support for those in poverty,,aishahhelp.com/,,Poverty,Multi-Purpose,Advice,,All (especially those in poverty) ,E12 9DZ,,,,,,,,,,,,,,,,,,,,
Aishah help ,£50 supermarket voucher ,,aishahhelp.com/the-community-organisations-cost-of-living-fund/,,Cost of Living,Food,Finances,,East London residents affected by cost of living ,Online,,,,,,,,,,,,,,,,,,,,
Alzheimer's Society ,Information and support for people affected by dementia,,this_is_me_1553.pdf,towedrhamlets@alzheimers.org.uk,Dementia,online resource,Advice,,helping dementia/ALZ patients stay safe and connected to carer,Online ,,,,,,,,,,,,,,,,,,,,
Ambassadors Football,Walking football,No,,dowen@ambassadorsfootball.gb,Adults,,,Tuesdays 1-2 PM,Almost anyone,"Raines School Sports Hall Approach Road, Bethnal Green, London E2 9LY",,,,,,,,,,,,,,,,,,,,
Arbours Association ,Physiotherapy Service,,www.arboursassociation.org/psychotherapy/,,Mental Health,Counselling,Wellness,,All (reasonably high cost though) ,N8 7BU,,,,,,,,,,,,,,,,,,,,
Arhag,Urgent support for housing,,www.arhag.co.uk/,,Housing,Crisis,Refugee,,Refugees and migrants,E15 2NE,,,,,,,,,,,,,,,,,,,,
Arts for All,Art Therapy and activities for disadvantaged ,,www.artsforall.co.uk/,,Mental Health,Fine Arts,Multi-Purpose,,All,E2 7NT,,,,,,,,,,,,,,,,,,,,
Arts Sisterhood ,DIY Art Therapy Group (online/in person),,Arts Sisterhood UK | London | Facebook,,Fine Arts,Women,Mental Health,,"Women, non-binary",,,,,,,,,,,,,,,,,,,,,
Ascent Counselling Service ,"1:1 Trauma counselling, 1 assessment 20 counselling sessions ",,  NEW REFERRAL FORM CIFA.docx      www.wgn.org.uk/our-services/counselling-and-therapeutic-support/ascent-counselling ,,Counselling,DV,Sexual Health,,victims of DV or SA and more ,TH ,,,,,,,,,,,,,,,,,,,,
BAATN,"Black, African and Asian therapy network ",,www.baatn.org.uk/find-a-comp-therapist/#!directory/ord=rnd,,Counselling,BAME,Mental Health,,BAME people,-,,,,,,,,,,,,,,,,,,,,
Baby Feeding Service ,in person & remote feeding support ,,7961609626,,Baby,Mums,Practical Help,,New breastfeeding mothers,TH ,,,,,,,,,,,,,,,,,,,,
Back 2 Hockey,Free Hockey Sessions for those getting back to hockey or beginners,,www.wappinghockey.club/back-to-hockey,,Exercise,Free,Social,,All,John Orwell Sports Centre ,,,,,,,,,,,,,,,,,,,,
Bags of Taste,Cooking courses for cheap meals ,Yes,www.bagsoftaste.org,towerhamlets@bagsoftaste.org,Cooking,Courses,Low Cost,,All,call/text/WhatsApp: 07807398181,,,,,,,,,,,,,,,,,,,,
Bambu,Support for domestic violence,Yes,,bambu@risemutual.org,Adults,1to1,,,,,,,,,,,,,,,,,,,,,,,,
Band for Life,Music group sessions,Yes,http://www.band-for-life.com/,,Fine Arts,Group,Adults,,18+ (currently 30-88 yrs),"Bow Road Methodist Church, 1 Merchant Street, E3 4LY",,,,,,,,,,,,,,,,,,,,
Bangladesh Youth Movement ,"Advice, women's center, youth provision, training & development  ",,www.bym.org.uk/Services.html,,Multi-Purpose,Bangladeshi,adults,,Bangladeshi People ,TH,,,,,,,,,,,,,,,,,,,,
Be Well,Tower Hamlets Leisure Centres. Free swimming for women 16+ and those 55+,,Be Well in Tower Hamlets – Health | Wellness | Play (be-well.org.uk),,Exercise,Free,,,Women 16+ and people 55+,Leisure Centres Tower Hamlets,,,,,,,,,,,,,,,,,,,,
Be Well Activity Finder,Activity Finder for physical exercise in Tower Hamlets,,Find local activities | Tower Hamlets Council (activityfinder.net),,Exercise,Group,,,All,Tower Hamlets,,,,,,,,,,,,,,,,,,,,
Beginner's Yoga ,Yoga ,,events.more-human.co.uk/event/1664788952843x914626791847728000,,Wellness,Exercise,Mindfulness,,All,E2 9PJ,,,,,,,,,,,,,,,,,,,,
Bengali's men group,Standing dance activity,,020 7739 7722,,Exercise,Bengali,Men,,50+ Bengali men,E2 0EG,,,,,,,,,,,,,,,,,,,,
Bethnal Green Chiropody Clinic,Chiropody Clinic,,londonchiropodyclinic.co.uk/our-clinics/,,Chiropody/Podiatry,Health Problems ,Wellness,,All,E2 7RU,,,,,,,,,,,,,,,,,,,,
Bethnal Green Mission Church ,"Dance, craft, yoga, book group, gardening, football, volunteering at Beehive,  art, poetry & open mic",,www.bethnalgreenmissionchurch.co.uk/midweek/,,Fine Arts,Multi-Purpose,Group,,All (some groups have specifics),E2 9LH,,,,,,,,,,,,,,,,,,,,
Bethnal Green Nature Reserve,Nature reserve with various projects ,,www.bethnalgreennaturereserve.org/,,Nature,Volunteering,Social,,All (specific applies to different programmes) ,E2 9RR,,,,,,,,,,,,,,,,,,,,
Bethnal Green Walking Group,Walking groups,,www.towerhamlets.gov.uk/lgnl/leisure_and_culture/walking/walks/walk_tower_hamlets.aspx,,Exercise,Nature,Group,,All,Various groups,,,,,,,,,,,,,,,,,,,,
Better Housing Better Health,"Help with: Energy bills, energy debt, draughts, damp, condensation, heating problems, insulation, cold homes, funding enquiries",,Better Housing Better Health,,Mould,Utility bills,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Sight Loss,Community for people with sight loss,,beyondsightloss.org.uk/,,Blind/Vision,Group,Advice,,people with sight loss/allies ,E14 9YQ / E2,,,,,,,,,,,,,,,,,,,,
Bikeworks,"Adult Group Cycle Training, Bike and helmet can be provided",,Adult Group Cycle Training -TH | Bikeworks CIC,,Exercise,Free,1to1,"Thursdays, 12:30 – 14:30","TH Residents, 16+","Victoria Park. Lock House Gate entrance, E3 2LA.",,,,,,,,,,,,,,,,,,,,
Bikeworks All Ability,"Cycling club for people with physical, sensory or learning disabilities, people with health conditions and carers",,All Ability | Bikeworks CIC,,Exercise,Disability,Free,Wednesdays and Saturdays,,"Victoria Park. Lock House Gate entrance, E3 2LA.",,,,,,,,,,,,,,,,,,,,
Black Tri Tribe ,Triathlon for POC and allies ,,the-black-tri-tribe.square.site/,,Exercise,BAME,Group,,All (specifically POC) ,Hampton Pool,,,,,,,,,,,,,,,,,,,,
Blind in Greenwich,Monthly coffee mornings ,,,blindingreenwich@gmail.com,Blind,Social,Group,,Blind/partially sighted people ,SE18 6GH,,,,,,,,,,,,,,,,,,,,
Bow Beasties,Wildlife club for 3-12yo - booking is essential.,,Events - The Friends of Tower Hamlets Cemetery Park (fothcp.org),,Child,Nature,Free,3rd Sun/month,3-12yo plus their parents/carers,Tower Hamlets Cemetery Park,,,,,,,,,,,,,,,,,,,,
Bow Beasties, Family Wildlife Club doing year round events (ages 3-12),,Events - The Friends of Tower Hamlets Cemetery Park,contact@fothcp.org,Child,Leisure,Nature,,Families with children aged 3-12,"Tower Hamlets Cemetery Park, Southern Grove, London E3 4PX",,,,,,,,,,,,,,,,,,,,
Bow Foodbank,Drop in foodbank,,"Bow Community Hall, 12 William Place, E3 5ED",,Foodbank,Finances,,,,,,,,,,,,,,,,,,,,,,,,
Bow Geezers,"East End Social Club for senior men, call themselves 'Geezers' (may have a waiting list)",,"Our Bow – News and events in and around Bow, London E3, in the East End of London from The Geezers.",,Senior,Men,Social,,Senior men,"Tredegar Community Centre, 333 Morville Street, Bow London, E3 2DZ",,,,,,,,,,,,,,,,,,,,
Box Up,Boxing @ Victoria Park Baptist Church Basement ,,,tom.head@eastendchuch.co.uk,Exercise,Social,Group,,All,E3 5TG ,,,,,,,,,,,,,,,,,,,,
BPF,Therapy Directory and low cost therapy services,,www.britishpsychotherapyfoundation.org.uk/find-a-therapist/,,Mental Health,Low Cost,Directory,,All,Service dependent ,,,,,,,,,,,,,,,,,,,,
Bipolar UK,Tower Hamlets Bipolar UK peer support group,No,,supportgroups@bipolar.org,Health Problems ,Peer Support,,6pm - 8pm( 2nd Tuesday each month),anyone between 18 to 30 who has bipolar,"Oxford House, Derbyshire Street, Bethnal Green, London E2 6HG",,,,,,,,,,,,,,,,,,,,
Braille class,Braille class (Mondays term time),,lewisham.gov.uk/myservices/education/adult/find-a-course/physical-and-sensory-impairments,,Blind,Practical Help,Courses,,Blinds/partially sighted people,SE23 1PR,,,,,,,,,,,,,,,,,,,,
Brandon Centre ,Therapy including for autism and LGBTQ+,,brandon-centre.org.uk/services/mental-health-therapeutic-support,,ASD,LGBTQ+,Youth,,16-24 yrs in Camden Borough,NW5 3LG,,,,,,,,,,,,,,,,,,,,
Bereavement social club,bereavement support ,No,www.stjh.org.uk,bereavement@stjh.org.uk,Bereavement,,,,,"St Joseph's Hospice, London, E8 4SA",,,,,,,,,,,,,,,,,,,,
Breaking Barriers ,Employment + other support for refugees ,,breaking-barriers.co.uk/contact/ ,,Refugee,Asylum,Multi-Purpose,,"Asylum seekers, refugees ","WC2B 4HN

",,,,,,,,,,,,,,,,,,,,
Breakthrough,,,https://wearebreakthrough.co.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breathe Arts Health Research ,10 week Group mindfulness support for mothers ,,breatheahr.org/forms/breathe-melodies-for-mums-tower-hamlets-registration-form/ ,,Mums,Group,Mindfulness,,"Mothers of 0-9 month olds facing isolation, anxiety low mood ",TH Area ,,,,,,,,,,,,,,,,,,,,
Bright Beginnings,"Enhanced health support for parent & babies e.g. perinatal, immunisation, social prescribing",,Bright Beginnings: Our service supporting you and your baby in their first 1001 days  | GP Care Group,thgpcg.thstart4lifepilot@nhs.net,Baby,Childcare,Parenting,,Families with children (pregnancy - 2 years),,,,,,,,,,,,,,,,,,,,,
British Liver Trust,Support for people having Hepatitis B,No,britishlivertrust.org.uk/hep-b-support,,,Health Problems ,,,,,,,,,,,,,,,,,,,,,,,,
Bromley by Bow Centre ,"Services, activities, help and support",No,bbbc.org.uk,connect@bbbc.org.uk,Free,,,Monday-Friday(9am- 5pm),Anyone,,,,,,,,,,,,,,,,,,,,,
Bromley by Bow Centre Healthy Lifestyles,Group Health and Prevention Programme,,,krys.giaoro@bbbc.org.uk,Healthy eating,Weight,Social,,Anyone,E3 3BS,,,,,,,,,,,,,,,,,,,,
Calm Mediation,"Family mediation, Neighbour mediation, workplace mediation, Conflict Resolution training ",,www.calmmediation.org/,,Victim,Social,Counselling,,All ,London ,,,,,,,,,,,,,,,,,,,,
